"	1-065_ANT4	1-065_OE_BUO	1-065_OOE_ANT1	1-065_OOE_ANT2	1-065_OOE_ANT3	1-065_OOE_CEN	1-065_OOE_COL5	FM__1-065_OOE_ACU	FM_1_065_OOE__FIL	FM_1-065_ALM-KIS	FM_1-065_ALM-LAT	FM_1-065_AVO_LAT	FM_1-065_AVO_OLI	FM_1-065_AVO_SAN2	FM_1-065_AVO-CHO	FM_1-065_AVO-SAN1	FM_1-065_CAN_CED	FM_1-065_CAN_COM	FM_1-065_CAN_HAR	FM_1-065_COR-MAZ	FM_1-065_FLA-GOL1	FM_1-065_FLA-GOL2	FM_1-065_GRA-BAS1	FM_1-065_GRA-BAS2	FM_1-065_GRA-CAR	FM_1-065_GRA-MAN	FM_1-065_HAZ_GEO	FM_1-065_HAZ_LAT	FM_1-065_HEM_GOL	FM_1-065_ILF1	FM_1-065_MAG-HGV	FM_1-065_OOE_AUM	FM_1-065_OOE_BOR	FM_1-065_OOE_CAL	FM_1-065_OOE_COL1	FM_1-065_OOE_COL3	FM_1-065_OOE_CRI	FM_1-065_OOE_FRA1	FM_1-065_OOE_FRA4	FM_1-065_OOE_GEM	FM_1-065_OOE_HER	FM_1-065_OOE_KRI	FM_1-065_OOE_KRN	FM_1-065_OOE_KRN2	FM_1-065_OOE_KRT	FM_1-065_OOE_MAS	FM_1-065_OOE_NEF	FM_1-065_OOE_PAE	FM_1-065_OOE_SAM2	FM_1-065_OOE_TRA1	FM_1-065_OOE-ALL	FM_1-065_OOE-AUR	FM_1-065_OOE-CLE	FM_1-065_OOE-COL2	FM_1-065_OOE-COL4	FM_1-065_OOE-DOM	FM_1-065_OOE-FRA3	FM_1-065_OOE-GIA	FM_1-065_OOE-ILF2	FM_1-065_OOE-LOR	FM_1-065_OOE-MIN	FM_1-065_OOE-NUN	FM_1-065_OOE-PLA	FM_1-065_OOE-PRT	FM_1-065_OOE-SAM1	FM_1-065_OOE-SOL	FM_1-065_OOE-TRA2	FM_1-065_OOE-VAL	FM_1-065_OOR-FILL	FM_1-065_OOR-GAL	FM_1-065_OOR-MAS	FM_1-065_PEA_PLA	FM_1-065_PEA-CED	FM_1-065_PEA-LIO	FM_1-065_PIS-LAT	FM_1-065_PUM_GEA	FM_1-065_PUM_PEL	FM_1-065_RIC_EPI	FM_1-065_SED-DID1	FM_1-065_SES_CLI	FM_1-065_SES-D1D2	FM_1-065_SES-GRE	FM_1-065_SES-KAD1	FM_1-065_SES-KAD2	FM_1-065_SES-MJR	FM_1-065_SUN_CEO	FM_1-065_SUN_COM	FM_1-065_SUN-SAF	FM_1-065_SUN-SAF2	FM_1-065_SUN-UNI	FM_1-065_WAL-LAT	FM_1-0655_SES_TOK	FM1-065_OOE-FRA2	FM-1-065_OOE-PAR	"
"-0.968955	0.0204442	-0.113512	-0.0156647	-0.134284	0.0116763	-0.0997941	-0.0398049	-0.058646	-0.0771846	-0.10016	-0.0981841	-0.0719522	-0.0665828	-0.0261298	-0.160406	-0.114958	-0.0863917	-0.109628	-0.0559125	-0.0616095	-0.138118	0.0201996	-0.108097	-0.0732702	-0.093572	-0.0118839	-0.0592006	-0.0919745	-0.142332	-0.0205746	-0.178477	-0.0182324	-0.0860462	-0.134082	-0.119206	-0.108079	-0.130807	-0.135692	-0.0837908	-0.20431	-0.0994809	-0.129317	-0.107857	-0.165941	-0.144979	-0.116601	-0.0841302	-0.0934662	-0.124385	-0.113001	-0.200462	-0.122407	-0.156475	-0.0730174	-0.104598	-0.121034	-0.079754	-0.0621131	-0.03518	-0.069042	-0.105381	-0.139066	-0.168226	-0.100721	-0.113903	-0.0449462	-0.0456802	-0.0997485	-0.0736005	-0.0498334	-0.0875698	-0.142755	-0.127295	-0.104903	-0.0314245	-0.0985209	-0.0460543	-0.0602479	-0.0662917	0.0273024	-0.117019	-0.0787199	-0.121349	-0.15908	-0.100513	-0.189229	-0.0844436	-0.0858969	-0.124023	-0.143118	-0.144461	-0.0957585	-0.0526786	-0.0575424	"
"-0.918778	-0.0928913	-0.113494	-0.0327141	-0.0232415	-0.0646741	-0.0743444	-0.11494	-0.107307	-0.116658	-0.182373	-0.0815738	-0.115251	-0.0365597	-0.0957891	-0.304009	-0.0888576	-0.097405	-0.0978139	-0.0892921	-0.163328	-0.0799099	-0.12754	-0.155997	-0.0302414	-0.0595979	-0.0834363	-0.116205	-0.128851	-0.14074	-0.188165	-0.035765	-0.0288465	-0.0336805	-0.0403615	-0.0615136	-0.0974197	-0.0684492	-0.0989354	-0.0729641	-0.182981	-0.127007	-0.152417	-0.154912	-0.172834	-0.206966	-0.144308	-0.0817171	-0.140937	-0.0811568	-0.147936	-0.499647	-0.057927	-0.0562626	-0.151157	-0.104223	-0.107747	-0.124351	-0.0914128	-0.115069	-0.106839	-0.122293	-0.148288	-0.103909	-0.186744	-0.166693	-0.05971	-0.117419	-0.132532	-0.136611	-0.136686	-0.0894161	-0.0860191	-0.162146	-0.113835	-0.111745	-0.0918181	-0.0489247	-0.0544104	-0.0664671	-0.148629	-0.102632	-0.0945474	-0.147105	-0.0997503	-0.142069	-0.0186067	-0.139136	-0.136123	-0.206521	-0.0722053	-0.136554	-0.128031	-0.127847	0.0171196	"
"-0.868602	0.333489	0.145438	0.208593	0.29247	0.206339	0.206883	0.171108	0.218571	0.108901	0.0197525	0.231274	0.412572	0.216735	0.305501	-0.118171	0.29074	0.164128	0.143494	0.144434	-0.0227744	0.159405	0.0676238	-0.0186412	0.265207	0.135964	0.289875	0.119221	0.0545977	0.142378	0.113244	0.513862	0.230106	0.212756	0.170438	0.304216	0.158478	0.168779	0.303167	0.177468	0.168039	0.204809	0.136415	0.184315	0.0728718	0.260178	0.128786	0.0977994	0.181668	0.170761	0.240246	-0.309981	0.132404	0.0966688	0.151493	0.115682	0.21093	0.112832	0.126912	0.260141	0.207257	0.0829952	0.15072	0.101863	0.147491	0.0341597	0.226561	0.0669215	0.138531	0.0772623	0.17438	0.19947	0.12949	0.0970129	0.148975	0.0445298	0.108012	0.199924	0.0786635	0.306974	0.171659	0.249287	0.116668	0.174662	0.0866453	0.0804446	0.329897	0.134721	0.126609	-0.186891	0.350395	0.0569886	0.176755	0.0778922	0.203215	"
"-0.818426	0.0664242	-0.1245	0.0812556	0.00442239	-0.029795	0.0302563	-0.0247079	-0.116407	-0.144652	-0.108286	0.0559464	-0.0790373	-0.0512095	-0.0458132	-0.159614	-0.0761407	0.0517316	-0.0822703	-0.063792	0.0178127	-0.0401821	-0.019821	-0.131585	0.0241577	-0.0249671	-0.12647	-0.0954774	-0.0879325	-0.128169	-0.0194395	0.301057	-0.138316	-0.0628596	-0.0441485	-0.0431865	-0.113891	-0.115428	-0.0544921	-0.103291	-0.161972	-0.135594	-0.18716	-0.0481223	-0.0434472	-0.196858	-0.0898077	-0.126693	0.0722751	-0.0852628	-0.0285844	-0.399114	-0.149813	-0.0851444	-0.161607	-0.0669106	-0.0131162	0.0292856	-0.157739	-0.0721885	-0.165052	-0.103053	-0.114817	-0.0524182	-0.102031	-0.0565898	0.0379461	-0.0150247	-0.00468832	0.0197573	-0.0554172	-0.0176611	-0.0602635	-0.152989	-0.136718	-0.0449745	-0.172223	-0.109286	-0.0837925	0.049578	0.202876	0.00365284	-0.0377277	-0.10403	-0.146656	-0.0901632	-0.0196821	-0.224789	-0.0913116	-0.168429	0.131967	-0.0983594	-0.156904	-0.0963215	-0.0355877	"
"-0.768249	-0.22954	-0.281957	-0.14624	-0.266064	-0.281328	-0.30064	-0.266768	-0.236978	-0.32133	-0.367795	-0.221142	-0.160554	-0.265133	-0.139733	-0.503295	-0.259958	-0.234319	-0.328966	-0.27699	-0.284125	-0.195576	-0.262375	-0.443243	-0.133107	-0.248671	-0.304319	-0.254049	-0.236185	-0.343752	-0.291655	-0.0556162	-0.302641	-0.189848	-0.297855	-0.175275	-0.422551	-0.331422	-0.268706	-0.367427	-0.327205	-0.291036	-0.410244	-0.323689	-0.282385	-0.281021	-0.288796	-0.322372	-0.250968	-0.196361	-0.134309	-0.673966	-0.329185	-0.285551	-0.307438	-0.41889	-0.235692	-0.197668	-0.413099	-0.320315	-0.303906	-0.36596	-0.330547	-0.318313	-0.326781	-0.326694	-0.231853	-0.301762	-0.278533	-0.180958	-0.324399	-0.428889	-0.408494	-0.423505	-0.251818	-0.310172	-0.26572	-0.3103	-0.320778	-0.203243	-0.222727	-0.203689	-0.231294	-0.245054	-0.408359	-0.362373	-0.321304	-0.441928	-0.276878	-0.485052	-0.193719	-0.340214	-0.419097	-0.324059	-0.481298	"
"-0.718073	-0.140293	-0.370983	-0.383993	-0.382611	-0.183611	-0.454342	-0.306296	-0.379873	-0.359283	-0.496507	-0.326687	-0.264225	-0.220321	-0.184736	-0.575881	-0.186011	-0.443773	-0.286496	-0.325884	-0.31473	-0.225233	-0.296683	-0.477948	-0.372234	-0.372816	-0.319386	-0.3771	-0.281348	-0.32442	-0.387575	-0.238688	-0.600001	-0.376951	-0.342575	-0.332485	-0.61547	-0.464093	-0.448138	-0.352102	-0.396746	-0.362145	-0.369643	-0.483165	-0.428692	-0.299388	-0.43512	-0.445293	-0.329594	-0.351184	-0.412537	-0.82488	-0.47906	-0.398641	-0.361672	-0.451231	-0.195541	-0.298655	-0.387196	-0.400792	-0.316576	-0.466508	-0.275521	-0.283876	-0.365828	-0.422617	-0.273008	-0.355688	-0.400713	-0.302668	-0.310003	-0.420863	-0.378864	-0.499293	-0.284792	-0.406746	-0.4257	-0.314155	-0.445005	-0.319131	-0.549903	-0.153572	-0.239398	-0.304839	-0.317798	-0.34577	-0.293068	-0.534383	-0.45776	-0.50221	-0.365121	-0.408116	-0.468431	-0.474063	-0.657281	"
"-0.667897	-0.469207	-0.390049	-0.234969	-0.306602	-0.208189	-0.442966	-0.353546	-0.437679	-0.437713	-0.642455	-0.322115	-0.300049	-0.366148	-0.18581	-0.604021	-0.270448	-0.615185	-0.41689	-0.30289	-0.285323	-0.16783	-0.296798	-0.465604	-0.374672	-0.4366	-0.345718	-0.366206	-0.366489	-0.288372	-0.363118	-0.241117	-0.337427	-0.369077	-0.357646	-0.261797	-0.501965	-0.436541	-0.387563	-0.355005	-0.353313	-0.478005	-0.359628	-0.445727	-0.391922	-0.425869	-0.375458	-0.492442	-0.383669	-0.436128	-0.392324	-0.853713	-0.312861	-0.474061	-0.267964	-0.392658	-0.307863	-0.379147	-0.29319	-0.5385	-0.457856	-0.361636	-0.353012	-0.376783	-0.441834	-0.43515	-0.420997	-0.352896	-0.474196	-0.411349	-0.446358	-0.410984	-0.446304	-0.416901	-0.344262	-0.534355	-0.514741	-0.497894	-0.45584	-0.391217	-0.388445	-0.195266	-0.298133	-0.420057	-0.481468	-0.392389	-0.308172	-0.416726	-0.549709	-0.494388	-0.361269	-0.406216	-0.41521	-0.436119	-0.6094	"
"-0.617721	-0.495163	-0.396469	-0.282609	-0.395298	-0.2981	-0.429626	-0.306419	-0.299439	-0.369533	-0.567729	-0.263684	-0.317149	-0.284313	-0.142757	-0.472709	-0.305503	-0.548701	-0.38384	-0.34	-0.343826	-0.162278	-0.422309	-0.430171	-0.351475	-0.435619	-0.249554	-0.278865	-0.35082	-0.254179	-0.20793	-0.182563	-0.373201	-0.435564	-0.262404	-0.36418	-0.35063	-0.427812	-0.154909	-0.389042	-0.308799	-0.379429	-0.275243	-0.432185	-0.34298	-0.364134	-0.397068	-0.396906	-0.417107	-0.472265	-0.422844	-0.855496	-0.244189	-0.438668	-0.193372	-0.341298	-0.323812	-0.396224	-0.229972	-0.440197	-0.469509	-0.332982	-0.403453	-0.448269	-0.406531	-0.373857	-0.441844	-0.343638	-0.380113	-0.41208	-0.342243	-0.361323	-0.514818	-0.42801	-0.409295	-0.477968	-0.523454	-0.521595	-0.43407	-0.316469	-0.429102	-0.126584	-0.260271	-0.309652	-0.371268	-0.401737	-0.146029	-0.489269	-0.417593	-0.462189	-0.33538	-0.259675	-0.381952	-0.372037	-0.494451	"
"-0.567544	-0.275498	-0.325011	-0.287336	-0.318844	-0.377633	-0.279845	-0.207238	-0.207172	-0.257788	-0.359236	-0.144531	-0.286822	-0.302609	-0.188574	-0.423263	-0.297984	-0.442088	-0.254814	-0.125975	-0.368576	-0.207272	-0.3644	-0.359088	-0.156654	-0.396307	-0.169687	-0.20002	-0.3919	-0.140172	0.0213361	0.110075	-0.260511	-0.257017	-0.267721	-0.246688	-0.15385	-0.235467	-0.219932	-0.23647	-0.251631	-0.343813	-0.25057	-0.325461	-0.329571	-0.472261	-0.335129	-0.338669	-0.380557	-0.457069	-0.305827	-0.66982	-0.0592248	-0.337073	-0.173793	-0.215402	-0.301789	-0.300101	-0.0938881	-0.365444	-0.40565	-0.308917	-0.356401	-0.544555	-0.272019	-0.283606	-0.446472	-0.468613	-0.312643	-0.448061	-0.290317	-0.178459	-0.533592	-0.375732	-0.380189	-0.351741	-0.520745	-0.562605	-0.408599	-0.301133	-0.409245	0.0162703	-0.200028	-0.333607	-0.263902	-0.327614	0.0583716	-0.551148	-0.442524	-0.347036	-0.230074	-0.183022	-0.246274	-0.248514	-0.388887	"
"-0.517368	-0.438831	-0.268804	-0.00433603	-0.235027	-0.464938	-0.140861	-0.132175	-0.267693	-0.146351	-0.283362	-0.102833	-0.121281	-0.0692612	-0.115193	-0.447747	-0.262104	-0.316418	-0.100268	-0.114322	-0.283964	-0.183263	-0.25945	-0.279227	0.0429043	-0.242188	-0.0432648	-0.0228602	-0.363504	-0.0233057	-0.123648	0.0484275	-0.206264	-0.15322	-0.341423	-0.215312	-0.0414794	-0.296769	-0.305899	-0.385386	-0.063404	-0.258338	-0.105947	-0.228618	-0.270821	-0.34919	-0.198747	-0.0999066	-0.202409	-0.29143	-0.113044	-0.640321	-0.0692936	-0.314846	-0.273999	-0.133445	-0.213326	-0.284691	-0.153413	-0.375657	-0.334903	-0.136829	-0.265859	-0.367985	-0.231213	-0.190512	-0.379474	-0.457617	-0.228275	-0.371699	-0.352641	-0.194356	-0.367864	-0.332925	-0.217464	-0.309154	-0.459324	-0.590553	-0.247788	-0.278471	-0.289118	0.0693183	-0.131218	-0.124995	-0.266732	-0.230538	0.186527	-0.43301	-0.248418	-0.148475	-0.169224	-0.0595844	-0.285633	-0.167759	-0.509084	"
