	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-1.02451	-0.145103	0.016577	-0.0863991	-0.0252681	0.0413262	-0.0424464	-0.0693282	0.0655984	0.0652497	0.0246261	-0.0364893	0.0253622	0.0465039	-0.0285028	0.0510373	0.060038	-0.00912448	0.114084	0.0162723	0.0363171	0.0556277	0.0466191	0.0195192	0.0874802	0.17681	0.145501	0.00711256	0.187946	0.0748422	0.14746	-0.00218189	-0.0107	0.0878355	-0.0102091	0.133101	0.087462	0.0367619	0.0530605	0.0484054	0.110002	0.0732916	-0.0760906	0.107176	0.120131	0.0217084	0.10125	0.165204	0.175471	0.128812	0.0145801	0.26684	-0.0294316	0.0670798	0.125449	0.0791861	0.17565	0.0665018	0.0380192	0.028112	0.0491482	0.0963905	0.24998	0.105696	0.235382	0.191211	0.0932018	0.169512	-0.0604766	0.125238	0.0839546	0.0362825	0.0990787	0.0402368	0.276146	0.164225	0.0680808	0.27953	0.178686	0.178576	0.316824	0.0650567	0.0316923	0.0180681	0.0863477	0.0931532	0.109849	0.0529341	0.117251	0.0502923	0.060448	0.0664291	0.125155	0.0322525	0.24739	0.110924	0.0215438	0.0572791	
-0.97431	-0.265466	-0.00374553	-0.228663	-0.153035	-0.0688788	-0.141194	-0.170452	-0.101678	-0.159347	-0.0819697	-0.311946	-0.0920485	-0.210401	-0.0367383	-0.201719	-0.117128	-0.164497	0.0327034	-0.237399	-0.133308	-0.0818034	-0.0955204	-0.0615002	-0.225458	-0.180552	-0.0536147	-0.108949	-0.272732	-0.179591	-0.115103	-0.0752502	-0.122641	-0.110069	-0.131626	-0.0570751	-0.0193657	-0.0712946	-0.178682	-0.105676	-0.137201	-0.104289	-0.0523205	-0.0896463	-0.109224	-0.000629518	-0.0746959	-0.0907858	0.0622902	-0.124256	-0.0502342	-0.285296	-0.050856	-0.0741068	-0.0318677	0.0314858	0.0130313	-0.0964712	-0.0365207	-0.021472	-0.0452879	-0.0698051	0.00949961	-0.104349	-0.117907	0.0461043	0.0375772	-0.108944	-0.179708	-0.126115	-0.144706	-0.0477647	-0.147055	-0.0798906	0.00856414	-0.11331	-0.0675916	-0.093717	-0.0966344	0.00211067	-0.161136	0.042213	-0.0794098	-0.00680468	-0.0905845	-0.0160018	-0.122317	-0.0978036	-0.10666	-0.0108978	-0.062457	-0.0980944	-0.0916125	-0.0855998	-0.0935222	-0.177324	-0.17522	-0.0868329	
-0.924109	-0.234675	-0.240465	-0.162404	-0.231563	-0.192952	-0.233767	-0.188357	-0.254398	-0.217785	-0.221552	-0.642705	-0.230043	-0.198892	-0.0831219	-0.31018	-0.155304	-0.228909	-0.223411	-0.199538	-0.203979	-0.19222	-0.313363	-0.190993	-0.184906	-0.192608	-0.193289	-0.301106	-0.281184	-0.262748	-0.28887	-0.192976	-0.298726	-0.313997	-0.218557	-0.0592727	-0.122258	-0.18988	-0.120416	-0.235292	-0.296788	-0.0808947	-0.114469	-0.271346	-0.119304	-0.174425	-0.158375	-0.146668	-0.126304	-0.0335035	-0.130139	-0.118854	-0.145662	-0.11708	-0.186026	-0.18354	-0.12777	-0.151641	-0.115111	-0.144255	-0.156932	-0.118369	-0.215407	-0.17357	-0.13875	-0.400688	-0.261871	-0.263049	-0.210651	-0.279208	-0.242607	-0.229742	-0.283988	-0.231829	-0.0882212	-0.21132	-0.204089	-0.257282	-0.20917	0.0375364	-0.229097	-0.184656	-0.271796	-0.540605	-0.201549	-0.123139	-0.243768	-0.218567	-0.209557	-0.35293	-0.149778	-0.221355	-0.0367337	-0.171333	-0.225103	-0.268386	-0.299772	-0.189466	
-0.873909	-0.211118	0.231788	0.155008	0.0412236	-0.0116486	0.0649968	0.0926124	0.176177	0.0774452	0.0591961	-0.357156	-0.0180245	0.0954587	0.0553396	0.160418	-0.126298	0.12664	-0.0333463	0.0598874	0.0128158	-0.0636611	-0.106454	0.0940242	0.0856454	0.0393375	0.0564488	0.068062	0.0853079	-0.0241522	0.0955117	0.069478	-0.250629	0.00740211	0.088827	0.296979	0.0753197	0.0142581	-0.0704633	0.1835	0.0552564	0.140175	0.0914942	-0.0274653	0.220347	-0.0247595	0.168531	0.152254	0.0870151	0.0939585	0.215236	0.345175	0.0376646	0.111056	0.141273	0.23413	0.223217	0.166674	0.0507573	0.0405018	-0.0263577	0.211101	0.158816	0.2045	0.0300672	-0.0120806	0.316283	0.0528815	0.139474	0.14393	0.180944	-0.0538971	-0.0190572	0.130425	0.30505	0.0702526	0.221541	0.211581	-0.0353714	0.152805	0.0728426	0.015119	0.0271588	-0.476009	0.215059	0.0102852	0.17327	0.021718	0.0897306	0.083653	0.0971699	0.14863	0.228543	0.134041	0.0984889	-0.078724	0.139426	0.16864	
-0.823708	-0.20982	-0.104164	-0.00502088	-0.124112	-0.463548	0.0042072	-0.0183283	-0.0166766	-0.12262	-0.13201	-0.675365	0.0613019	0.145727	-0.200214	-0.0823883	-0.45341	-0.000283441	-0.322077	-0.112426	-0.0655942	-0.344371	-0.1672	-0.273181	0.0323643	-0.192411	-0.279709	-0.323007	0.152959	-0.354887	-0.35424	-0.105601	-0.377573	-0.201939	-0.0994703	0.00492152	-0.15085	-0.217393	-0.215348	-0.0510213	-0.204118	-0.137103	-0.152845	-0.2083	-0.267525	-0.16035	-0.020888	0.0017018	-0.157079	-0.241191	-0.11064	-0.0513683	-0.400124	-0.238691	-0.0131082	-0.30868	-0.00901852	-0.0571968	-0.0936796	0.0533399	-0.175783	0.0941245	-0.0887636	-0.0592524	0.198739	-0.174615	0.017302	-0.139479	-0.0738677	0.0208724	-0.196968	-0.184396	-0.259861	0.054405	-0.0394891	-0.315723	-0.111879	-0.211065	-0.0950204	-0.171055	-0.0537017	-0.37296	-0.101389	-0.522655	-0.0394933	-0.328499	0.0337144	0.0351957	-0.182659	-0.428431	-0.0402693	-0.0781683	-0.134524	-0.0478957	-0.186081	-0.299115	0.00584385	-0.0910192	
-0.773508	-0.697321	-0.293278	-0.223086	-0.369401	-0.63954	-0.19105	-0.277578	-0.288196	-0.347949	-0.40457	-1.29964	-0.210991	-0.139823	-0.718018	-0.327138	-0.702439	-0.236438	-0.587785	-0.186109	-0.427364	-0.6834	-0.384826	-0.697209	-0.300888	-0.493665	-0.683933	-0.421775	-0.363577	-0.620978	-0.575253	-0.269388	-0.77863	-0.253629	-0.484894	-0.536631	-0.495492	-0.447379	-0.469023	-0.341271	-0.458951	-0.380798	-0.518751	-0.537743	-0.556507	-0.522116	-0.659323	-0.479721	-0.438851	-0.235256	-0.32924	-0.672305	-0.55846	-0.387421	-0.184626	-0.462308	-0.440096	-0.430353	-0.370792	-0.346532	-0.365113	-0.356174	-0.597754	-0.0814459	-0.564691	-0.500511	-0.504043	-0.241626	-0.364122	-0.110462	-0.212291	-0.319228	-0.281261	-0.0493092	-0.74526	-0.658012	-0.133339	-0.420237	-0.510495	-0.996823	-0.404963	-0.816703	-0.252127	-0.869683	-0.315549	-0.83685	-0.278804	-0.213081	-0.300195	-0.737361	-0.043725	-0.308067	-0.453832	-0.283852	-0.422763	-0.39861	-0.295783	-0.301987	
-0.723307	-0.70726	-0.0916962	-0.0966942	-0.240173	-0.727524	-0.0598014	-0.165064	-0.197893	-0.343293	-0.38484	-1.39163	-0.27647	-0.123222	-0.947896	-0.0766122	-0.562523	-0.151535	-0.765914	-0.209214	-0.431428	-0.875679	-0.193329	-0.697726	-0.204563	-0.493369	-0.716487	-0.595534	-0.274213	-0.422757	-0.685613	-0.0861178	-0.752302	-0.098425	-0.361026	-0.786434	-0.764176	-0.337078	-0.682859	-0.317883	-0.406609	-0.437117	-0.394251	-0.40334	-0.44812	-0.523636	-0.45219	-0.424876	-0.570621	-0.183796	-0.342521	-0.889744	-0.785298	-0.438557	-0.398283	-0.245698	-0.538531	-0.515259	-0.332299	-0.377603	-0.499478	-0.473306	-0.65131	0.0599126	-0.644165	-0.472601	-0.388067	-0.220215	-0.0469859	0.0680087	0.0114083	-0.0640117	-0.109098	0.0617535	-0.746958	-0.586518	-0.224656	-0.401538	-0.601562	-1.29409	-0.253913	-0.956163	-0.190192	-0.615756	-0.250154	-0.89598	-0.234557	-0.256497	-0.402036	-0.564403	0.0609033	-0.156521	-0.685746	-0.129659	-0.408811	-0.292242	-0.206673	-0.337441	
-0.673107	-0.337374	0.199324	-0.0284015	-0.0755065	-0.764635	-0.00149154	0.0563249	0.0154412	-0.307636	-0.344671	-1.60662	-0.100122	-0.00901856	-1.02903	0.0514105	-0.436818	-0.0679273	-0.664915	-0.195236	-0.161066	-0.809708	-0.0823841	-0.804363	-0.0761368	-0.426992	-0.685676	-0.349398	0.00519576	-0.0498718	-0.3133	0.0383901	-0.617747	0.280062	0.0229372	-0.953605	-0.895792	-0.276606	-0.485688	-0.253128	-0.296805	-0.498316	-0.463529	-0.402832	-0.674226	-0.581245	-0.76194	-0.344259	-0.628893	-0.0783812	-0.402442	-0.807917	-0.806216	-0.424953	-0.332431	-0.397823	-0.736937	-0.373687	-0.32659	-0.38772	-0.634634	-0.479168	-0.710506	-0.00836979	-1.28875	-0.240758	-0.00676986	-0.0304905	-0.156729	0.22281	0.23031	0.0390475	0.217929	0.173158	-0.90202	-0.565448	-0.183739	-0.287134	-0.0610329	-1.5199	0.060793	-1.07241	-0.0920718	-0.623001	-0.105606	-0.984693	0.0173491	-0.104512	-0.21105	-0.347895	-0.0663442	-0.0947216	-0.936295	-0.0204684	-0.519238	-0.0733874	0.0532469	-0.156196	
-0.622907	-0.0956806	0.377752	0.0295144	-0.0624394	-0.625441	0.0799163	0.102923	0.069682	-0.177713	-0.123375	-1.62066	0.025951	0.0770263	-1.20555	0.0205724	-0.169223	0.0839279	-0.708026	-0.0301585	-0.0177117	-0.576304	-0.0120487	-0.726436	-0.129052	-0.254431	-0.555286	-0.0489474	0.350866	0.109999	-0.0823734	0.171195	-0.616611	0.354462	0.23612	-0.992978	-0.926366	-0.0467223	-0.317884	-0.129371	0.0421796	-0.33783	-0.470903	-0.509325	-0.364053	-0.446309	-0.622569	-0.389059	-0.609711	-0.471638	-0.407601	-0.587708	-0.632008	-0.213613	-0.163729	-0.428321	-0.786504	-0.30714	-0.3879	-0.515271	-0.641617	-0.337774	-0.720875	0.216155	-1.14276	-0.130296	0.332114	0.132492	0.0349106	0.415558	0.0519166	0.277094	0.24211	0.175895	-1.23322	-0.225964	-0.103402	0.0785796	0.196445	-1.1999	0.240585	-0.837647	0.011293	-0.575014	-0.0103331	-0.636119	-0.00547286	0.225935	0.0611503	-0.128823	-0.0939047	-0.0120218	-0.786272	-0.00165008	0.130824	0.0373046	0.165002	0.222649	
-0.572706	0.308402	0.125176	0.0949236	0.0706156	-0.347495	0.0749294	0.184056	0.0540029	-0.0441438	-0.0582807	-1.6208	0.0363593	0.170777	-0.885388	0.118738	-0.122454	0.0587409	-0.341687	0.0434891	0.0715371	-0.25367	0.0286354	-0.490601	-0.0109757	-0.0346001	-0.495754	0.153846	0.390058	0.211175	-0.020096	0.222592	-0.46718	0.221225	0.235268	-0.937827	-0.767702	0.136561	-0.309838	0.0426996	0.18367	-0.270822	-0.297105	-0.531454	-0.301047	-0.333022	-0.439477	-0.338906	-0.697123	-0.507422	-0.153115	-0.444751	-0.680218	-0.162652	-0.164287	-0.464729	-0.575071	-0.233012	-0.43039	-0.435101	-0.625488	-0.195881	-0.507137	0.31913	-0.717095	0.0826897	0.406229	0.390045	0.163808	0.301704	0.329774	0.306391	0.145554	0.255915	-0.731216	-0.00854962	-0.0998671	0.0983196	0.336	-0.838942	0.24603	-0.521369	0.0588025	-0.431945	0.16399	-0.360256	0.256262	0.244812	0.0705039	-0.0360916	-0.0648066	-0.0904661	-0.628037	0.0475329	-0.0230878	0.357514	0.121268	0.128599	
