	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-1.07454	0	5.2873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254445	0	0	0	0	0	0	0	0	0	0	0	0	0.446147	0	-6.35327e-08	0	0	0	0	0	0	0	-0.0923642	0	0	-4.30967e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.0686	0	0.152308	0	0	0.000149757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73404e-05	0	0	0	0.649804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341147	0	0.18909	0.148319	0	0.0697722	0	0.367651	0	0	0.208296	0.304261	0	0	0	0	0	0	0.104079	0	0.242226	0	-0.118116	0	0.524113	0	0.390207	0	0	0	-0.262879	0.187582	0.266927	-0.137146	0.248806	0.0168374	-0.0384827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.06266	0	0.304073	0	0	0.7726	0	0	0.838473	0	0	0	0	0.809827	0	1.07076	0	0	0	0	0	5.68033e-05	0	4.01684e-05	0.546623	0.268554	0.295566	0.726623	0.343681	0.595352	0.528398	0.377637	0	0.489551	0	0.3512	0	0	0	0	0.719907	0.323003	0	0	0.271044	0	0.282818	0.30028	0.165587	0.113914	0.456533	0.177446	0.409461	0.135862	0.338802	0.0773834	0.137655	0	0	0	0	0	0.100967	0.189481	0.0971069	0	0.0286258	0.185351	0.500005	0.28933	0.174034	0	0.537979	0.325947	0.142957	0.272884	0.398106	0.279001	0.225627	-0.154934	0.293122	0	0	0	0.375408	0.271545	0.312991	0	0.504052	0.594027	0.373952	0.260335	0.264924	0	-0.0111738	0.600184	0.000100607	0.578803	
-1.05672	0	0.161579	1.05063	0.911693	0.609404	0.952963	1.07871	0.336302	0.762872	0.797574	0	0	0.275295	0.778143	0.497551	1.01113	0.874304	0.499249	0.820136	0.787752	0.679195	0	0.723469	0.55983	0.423653	0.452593	0.520234	0.403468	0.45744	0.256106	0.321532	0	0.298092	0.622987	0.149962	0.39813	0.492991	0.311125	0.507509	0.52701	0.3637	0.588336	0	0.0463496	0	0.243248	0.0550886	-0.0575535	0.115043	0.269052	-0.0743374	0.317073	0.235655	0.150336	0.156344	0.109138	0.392507	0	0	0	0.344952	0.0741103	0.178629	0.0199767	0.0987384	0.358819	0.327567	0.272949	0.392773	0.207816	0.544715	0.362669	0.401282	0.235907	0.381984	0.251008	0.326642	0.181488	-0.117388	0.348175	0.519264	0.582349	0	0.414484	0.111478	0.305982	0.566276	0.217257	0.572409	0.260433	0.402221	0.152112	0.611519	0.502208	0.481493	0.826333	0.367749	
-1.05078	0	0.197492	0.568406	0.622551	0.151448	0.527626	0.717405	0.368083	0.513728	0.514318	2.18647	0.956697	0.375638	0.61394	0.284252	0.336907	0.569731	0.271952	0.700125	0.598429	0.557603	1.11578	0.480081	0.251819	0.342208	0.485815	0.226266	0.1348	0.381819	0.308585	0.35968	0	0.182641	0.568747	0.361284	0.253838	0.388621	0.479137	0.457797	0.29051	0.227719	0.288654	0.688553	-0.0693996	0.699174	0.0334201	0.191465	0.203607	0.192802	0.0105812	0.0425303	0.0648663	0.263324	0.181928	0.248236	0.0895672	0.257997	0.437713	0	0.470746	0.114212	0.0957558	0.201776	0.297429	0.397789	0.083566	0.484982	-0.0630191	0.224697	0.168619	0.267395	0.23028	0.426882	0.128458	0.0756792	0.180772	0.240256	0.183573	-0.0536838	0.134971	0.249459	0.312095	0	0.203625	0.094148	0.201834	0.534935	0.1011	0.429903	0.356878	0.502308	0.0921451	0.251403	0.51775	0.797563	0.636681	0.0615081	
-1.04484	1.131	0.12991	-0.0549514	0.281696	0.0338033	0.22532	0.27311	0.110129	0.371628	0.389551	1.19289	0.426479	0.288585	0.128179	0.217139	0.336758	0.400814	0.154042	0.457989	0.322339	0.420049	0.60082	0.339358	0.103637	0.263555	0.377729	0.10174	0.203721	0.176068	0.267589	0.104135	1.20704	0.259322	0.382302	-0.0713437	0.251502	0.23305	0.513559	0.383286	0.0725686	0.0604529	0.0824712	0.344383	0.0404502	0.24699	-0.0103126	0.0476897	0.133715	0.144765	-0.0787923	0.154764	-0.0621154	0.211186	-0.0163863	0.0923372	0.215916	0.209526	0.186798	0.458299	0.408566	0.0749993	0.205856	-0.050529	-0.0549487	0.19356	0.019526	0.111031	-0.0430777	0.199924	0.231273	0.267776	0.231406	0.160744	0.0359059	0.235933	0.153865	0.250666	0.204797	0.275606	-0.0060377	0.284493	0.281627	0	0.266422	0.0324102	0.142255	0.188706	0.0302125	0.0952901	0.059245	-0.0793233	0.153545	0.191375	0.371856	0.63347	0.254128	0.116725	
-1.03891	0.804947	0.0459677	-0.0792358	0.196944	-0.0931501	0.197766	0.0188731	0.0400191	0.194242	0.148371	0.508057	0.0894623	0.0173491	0.0301585	0.274378	0.258115	0.228619	0.32137	0.202878	0.330409	0.179744	0.310479	0.19441	0.0867721	0.161832	0.236006	-0.0687474	-0.0397721	0.00166665	0.183926	-0.0466935	0.706265	0.0913001	0.121681	0.193638	0.212702	0.217839	0.220099	0.146144	0.128093	0.184057	0.147586	0.302046	0.0368559	0.165482	-0.0792373	0.127168	0.070614	-0.0826818	-0.118612	0.030767	-0.0840147	0.0103407	0.0243731	0.0469046	0.0979268	0.147233	0.138657	0.406921	0.15704	0.051711	0.14766	0.0262902	-0.0221481	0.0746675	0.18586	0.309583	0.0279701	0.148954	0.0816807	0.178881	0.00861945	0.172259	0.0668019	0.16302	0.150142	0.13619	-0.016837	0.124514	0.180737	0.222275	0.0354245	0.00010599	0.144885	0.110112	-0.0632309	0.0484988	0.18585	0.024108	0.0398755	-0.0116213	0.126508	0.213785	0.208864	-0.0725315	0.186112	0.0399239	
-1.03297	0.223881	-0.175732	0.0808294	0.192581	-0.0195229	-0.0105753	-0.060466	0.0717568	-0.198157	0.112372	0.499786	0.0441646	-0.073673	-0.139956	0.148199	0.100963	-0.0416811	0.0961219	-0.092291	0.333037	0.0444154	0.272084	0.211194	0.0820238	0.0547363	0.0438895	0.133427	0.0218242	-0.0999649	0.0894119	-0.00733752	0.263268	-0.0657467	0.0412198	0.0847361	0.0834683	0.147575	-0.206169	0.0621297	0.0161107	-0.0707496	0.0540978	0.140094	0.211068	0.104819	-0.0740717	0.0417051	0.0623791	-0.0449223	0.0190997	0.104454	-0.0289204	0.0363897	0.111754	0.233988	0.0243378	-0.0235385	0.190565	0.0741967	0.206078	0.204768	0.194107	-0.00659531	0.130949	0.20268	0.0999725	0.136088	0.0489621	0.00652334	-0.0228363	0.116361	0.182824	0.0720425	0.0226814	-0.0169718	0.0117609	0.0562655	0.217693	0.106714	0.088543	-0.134359	0.178049	2.01928	-0.0569705	0.139919	0.126078	-0.00912169	0.125814	0.183684	-0.0255578	-0.106405	0.107781	0.0547563	0.127722	-0.167695	0.0266972	-0.0838086	
-1.02703	-0.0300608	-0.0236637	0.0493417	-0.0134666	0.0292377	-0.159393	0.0162484	0.0926512	-0.143394	0.0760357	0.635248	-0.0185293	-0.0654703	0.0109825	-0.111337	0.0273673	-0.00973793	0.0397542	-0.101368	0.182215	0.0675822	0.0940013	-0.063269	-0.0272834	0.122021	-0.0722886	-0.0712361	0.0964882	0.00859873	0.0212043	0.0459765	-0.193427	-0.115339	-0.0723242	0.0852931	0.0279814	0.0367007	-0.0683016	0.014009	0.0957366	0.189902	-0.146989	-0.105831	0.0916003	0.089544	0.218834	0.0929899	-0.237824	-0.00195773	-0.0128058	0.208708	0.11077	0.0366901	0.118734	-0.0988631	0.078112	0.0964014	0.0858336	0.242457	0.216842	-0.00132732	0.112655	0.0730818	0.215964	0.322312	0.00550014	-0.0340575	-0.167864	-0.035554	0.0178255	0.0769295	0.0446673	-0.0828052	0.108545	-0.0970149	-0.176262	-0.042253	0.191283	-0.0177274	0.203033	-0.0554341	0.178595	1.31656	-0.0716957	-0.116033	0.0776921	0.155735	0.0886401	-0.0811694	-0.0662091	0.0480451	-0.00160213	0.0033475	0.0799184	0.052879	-0.0228315	0.156436	
-1.02109	-0.186054	-0.153935	0.0446467	-0.0730676	-0.0399288	0.105448	0.0314315	-0.0934319	-0.131449	-0.0236591	0.047574	0.0142491	0.056699	0.127102	-0.30412	-0.173091	0.032674	0.142794	-0.232093	-0.0694684	-0.0431262	-0.0132192	-0.0916097	-0.170653	-0.0297624	-0.0712199	-0.0468135	-0.0658567	0.034382	-0.155756	-0.144113	0.226588	0.051534	-0.107493	-0.304654	0.0801461	-0.0331307	0.134048	-0.0755321	0.0214425	-0.00985365	-0.106492	0.0155137	0.064259	0.0830586	0.175868	-0.0010805	0.143568	0.144955	0.0771615	0.0774732	-0.0411968	-0.0295572	0.0750266	-0.204495	0.289764	-0.107426	-0.00620186	-0.0228307	-0.0866088	-0.152522	0.0643853	0.134218	0.119654	0.214108	-0.0473692	0.210147	-0.141835	-0.0729478	-0.118979	-0.0980284	-0.0464735	-0.116726	0.0866383	-0.0869634	-0.153248	0.0867174	-0.0947047	0.0900535	0.168594	0.0727916	-0.00911829	0.56568	0.0270568	-0.0102269	0.150503	0.237348	-0.168425	-0.137639	-0.0061622	0.0831252	-0.0798838	-0.042792	0.119786	-0.203405	-0.0239862	0.227562	
