	TH_HAZ_LAT_60_1	TH_OOE_CLE_60	TH_OOE_TRA1_60	TH_OOR_GAL_60	TH_OOR_MAS_60	TH_PEA_LIO_60	TH_PIS_LAT_60	TH_SES_KAD1_60	TH_SES_KAD2_60	TH_SES_MAR_60	TH_WAL_LAT_60	TH_AVO_CHO_60	TH_OOE_ANT3_60	TH_OOE_ANT4_60	TH_OOE_AUM_60	TH_OOE_AUR_60	TH_OOE_GIA_60	TH_OOE_ILF_60	TH_OOE_ILF2_60	TH_OOE_MAS_60	TH_OOE_ACU_60	TH_OOE_BUO_60	TH_OOE_COL3_60	TH_SUN_SAF2_60	TH_GRA_BAS1_60	TH_GRA_CAR_60	TH_OOE_ANT1_60	TH_OOE_ANT2_60	TH_OOE_BOR_60	TH_OOE_CEN_60	TH_OOE_COL2_60	TH_OOE_COL5_60	TH_OOE_FIL_60	TH_OOE_FRA1_60	TH_SES_GRE_60	TH_ALM_KIS_60	TH_ALM_LAT_60	TH_FLA_GOL1_60	TH_GRA_BAS2_60	TH_MAC_HGV_60	TH_OOE_COL4_60	TH_OOE_FRA2_60_1	TH_OOE_FRA3_60_1	TH_OOE_LOR_60	TH_OOE_MIN_60_1	TH_OOE_PAR_60	TH_OOE_PLA_60	TH_OOE_PRT_60	TH_OOE_VAL_60	TH_OOR_FIL_60_1	TH_PUM_PEL_60	TH_RIC_EPI_60	TH_SES_CLI_60	TH_SES_DID2_60	TH_SES_LAT_60	TH_SES_TOK_60	TH_SES_YEO_60	TH_SUN_SAF1_60_1	TH_AVO_SAN2_60_1	TH_CAN_COM_60_1	TH_HAZ_GEO_60	TH_OOE_ALL_60	TH_CAN_CED_60_2	TH_COR_MAZ_60	TH_FLA_GOL2_60	TH_OOE_CAL_60	TH_OOE_CRI_60	TH_OOE_DOM_60	TH_OOE_FRA4_60	TH_OOE_GEM_60	TH_OOE_KRI_60	TH_OOE_KRN1_60	TH_OOE_PAE_60	TH_OOE_TRA2_60	TH_PEA_CED_60	TH_SES_DID1_60	TH_SUN_UNI_60	TH_AVO_LAT_60	TH_AVO_OLI_	TH_AVO_SAN1_60	TH_OOE_KRN2_60	TH_OOE_KRT_60	TH_OOE_NEF_60	TH_OOE_NUN_60	TH_OOE_SAM1_60	TH_OOE_SAM2_60	TH_OOE_SOL_60	TH_PEA_PLA_60	TH_PUM_GEA_60	TH_SUN_CED_60	TH_SUN_COM_60	TH_CAN_HAR_60	TH_GRA_MAN_60	TH_HEM_GOL_60	TH_HEM_SAT_60	TH_OOE_COL1_60	TH_OOE_HER_60	
-1.07454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.8445e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.149172	0	0	0	0	-0.0275749	0	0	0	0	0	0	0	0	0	0	0	0	0.439734	0	-0.652047	0	0	0	0	0	0	0	-0.0305403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.07157	0	-0.000169527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00719024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111319	-0.0874429	0	-0.123697	0	0.159667	0	0	0	0	0	0	0	0	0	0	-0.244095	0	0.138561	0	-0.0184418	0	-0.357543	0	-0.418406	0	0	0	-0.196371	-0.334235	-0.527035	-0.000498516	0	-0.10504	-0.65062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.0686	0	-0.24389	0	0	0.000165334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.95019e-05	0	0	0	0.490141	0	0	0	0	0.0842278	0	0.0898863	0	0	0	0	0	0	0	0	0.103841	0	0.202309	0.0690767	0	0.02952	0	0.12707	0	0	-0.289314	-0.0936769	-0.196311	0	0	0	0	0	0.0787783	0	0.229107	0	-0.106635	-0.263007	0.494844	-0.312739	0.385261	0	0	0	-0.222911	0.154857	0.189046	-0.793541	-0.451422	0.0548307	0.00250822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-1.06563	0	0.122888	0	0	0.426275	0	0	0	0	0	0	0	0.481944	0	0	0	0	0	0	0	0	0	0	-0.245225	-0.47592	-0.177291	0	0.255636	0.358955	-0.0527923	-0.0655774	0	0.3708	0	0.242045	0	0	0	0	0	0.14394	0	0	0.227923	0	0.205066	0.0563155	0.151257	-0.027855	0	0.263728	0.212656	-0.213585	0.16901	0.230489	0.09627	0	0	0	0	0	0.0403795	-0.65466	-0.0833463	0	0.101218	0.100976	0.278719	0.249605	0.12198	0	0.0192008	-0.356664	-0.0988656	0.0274694	0.346435	-0.138204	0.243201	-0.137809	-0.0666489	0	0	0	0	0.067754	-0.0990857	0	0.0258265	-0.044592	0	-0.177026	0.0433752	0	0	0	6.85931e-05	0	
-1.06266	0	0.0752562	0.778885	0	0.521754	0.403319	0	0.465981	0.227808	0.352218	0	0	0.570982	0	0.558708	0.601742	0	0	0	0	0	0	5.07044e-05	0.39141	0.163581	0.129645	0.281213	0.193623	0.401626	0.398497	0.282499	0	0.135973	0	0.0244954	0	0	-0.335188	-0.105701	0.306982	0.186091	0	0	0.116114	0	0.122732	0.219979	0.0806647	0.0682451	0.26222	0.0744678	0.301705	0.105014	0.0803927	0.0953725	0.0217247	0.0767439	0	0	0	0	0.0682475	0.259371	0.0834874	-0.608783	0.0985738	0.0717405	0.470822	0.134566	0.158725	0	0.43213	0.27055	0.160183	0.230437	0.3082	0.0994206	-0.0305377	-0.125213	0.310572	0	0.227002	0	0.101611	0.201846	0.230842	0	0.403159	0.445294	-0.153865	0.184125	0.178792	-0.0346041	-0.665821	-0.295759	0.282302	0.0978822	
-1.05969	0	0.267159	0.751405	0.72346	0.496195	0.675533	0	0.555221	0.535257	0.52627	0	0	0.250367	0.525766	0.73889	0.710719	0.519464	0.457692	0.501334	0.292614	3.45111e-05	0	0.455654	0.445129	0.279086	0.136146	0.499007	0.0296571	0.152438	0.134377	0.113542	0	0.192989	0.265571	0.0504028	0.207252	0.0698866	0.24187	0.344232	0.516307	0.154283	0	0	0.168026	0	0.172986	0.134422	0.0753404	0.115618	0.303229	0.106476	0.218188	0.035244	0.292014	0.0223593	0.0620021	0.281283	0	0	0	0.116521	-0.0247942	0.0629718	-0.14682	0.152416	0.408832	0.230079	0.120629	0.346196	-0.0406047	0.0575048	0.107397	0.150203	0.18303	0.156143	0.182165	0.232207	0.205992	-0.0888193	0.191254	0.428138	0.41167	0	0.226	0.1074	0.209424	0	0.215436	0.27011	0.302958	0.14142	0.0913354	0.477253	-0.0309425	0.417044	0.548246	0.442641	
-1.05672	0	0.107032	0.475273	0.590708	0.390014	0.564545	0.454283	0.207759	0.427679	0.316627	1.34547	0.755892	0.0608813	0.519425	0.473731	0.345178	0.580902	0.290972	0.524276	0.500734	0.204992	0.41599	0.461997	0.408599	0.307388	0.282002	0.376684	0.272677	0.284005	0.129962	0.229233	0	0.0548696	0.430396	0.119805	0.258752	0.359824	0.0972542	0.23821	0.239751	0.236587	0.332422	0	0.10812	0	0.0752974	-0.0233021	-0.136547	0.0661519	0.173422	-0.106223	0.227337	0.198895	0.136006	-0.0827663	0.0483607	0.0962562	0	0	0	0.263764	0.0337717	0.229472	0.00304747	-0.0617888	0.136057	0.149031	0.257476	-0.00789782	0.190482	0.460021	0.265358	0.339608	0.230843	0.337674	0.163607	0.255223	0.0708846	-0.0989724	0.347979	0.324209	0.0304525	0	0.0592908	0.0480436	0.227106	0.239985	0.126249	0.433681	0.0956586	0.324263	0.07123	0.0864984	-0.0367073	0.150702	0.248201	0.301911	
-1.05375	0	0.127449	0.327719	0.377188	0.129366	0.290485	0.774745	0.107799	0.308399	0.269972	1.16569	0.667597	0.0342015	0.462746	0.209947	0.0781824	0.400933	0.164623	0.380115	0.393962	0.425025	0.780905	0.301096	0.241107	0.24065	0.303584	0.328468	0.163037	0.24763	0.0996048	0.268834	0	0.0963277	0.275972	0.268396	0.0872064	0.223013	0.392238	0.304967	0.346368	0.131125	0.391328	0.671244	-0.0364892	0	-0.0232337	0.0266568	-0.112198	0.0386978	0.153291	-0.104904	0.0574403	0.12979	0.10677	0.0967361	0.0379626	0.159171	0.346402	0	0.129777	0.093679	0.0352022	0.0349994	0.15528	0.426705	0.12215	0.38145	-0.113404	0.183314	0.0593386	0.0616123	-0.00700944	0.207969	0.210347	-0.00193716	0.147049	0.255783	0.152813	-0.221115	0.111337	0.136022	0.171139	0	0.269476	-0.0303152	0.0304988	0.368729	-0.00363139	0.169679	0.193485	0.283453	0.00769209	0.164133	0.44176	0.306259	0.400665	0.249711	
-1.05078	0	0.00154888	0.0651548	0.34137	-0.0239972	0.0197065	0.639174	0.172251	0.184486	0.229954	0.674112	0.32752	0.197535	0.389406	0.0335387	0.00185355	0.309008	0.0839347	0.435996	0.334037	0.42622	0.583412	0.243702	0.12153	0.227096	0.32151	0.0323694	0.0277092	0.240306	0.194029	0.282174	0	0.000312424	0.397213	0.0779142	0.126247	0.266522	0.238342	0.154226	0.0708105	0.118288	0.261804	0.437343	-0.134314	0.558086	-0.074417	0.119726	0.128299	0.144041	-0.0195494	-0.166812	0.00413517	0.22695	-0.0068024	0.10449	0.0636722	0.0333496	0.315728	0.153772	0.318005	0.0432572	0.0486863	0.241506	0.280238	-0.0232827	-0.182976	0.0828606	-0.0617879	0.101413	0.152169	0.189882	0.147532	0.371397	0.110768	0.033728	0.104762	0.201455	0.0297895	-0.0545484	0.127463	0.0764277	0.152224	0	0.0941378	0.0396139	0.133527	0.222143	0.0262992	0.316701	0.121573	0.436562	0.0185987	-0.0237507	0.332804	0.259932	0.109458	0.00842855	
-1.04781	0	0.169495	-0.22153	0.15815	-0.0572706	0.040977	0.451448	0.174421	0.204576	0.18426	0.449828	0.186005	0.232373	0.224288	0.0486332	0.122703	0.212693	-0.00776279	0.351787	0.208605	0.323385	0.308459	0.188145	0.0222841	0.143636	0.277913	0.0864618	0.00403321	0.0130786	0.0881569	0.0978561	0.799485	0.191372	0.175044	-0.141751	0.0273906	0.0381422	0.430707	0.255676	0.142554	0.0170012	0.141569	0.178838	-0.137904	0.439442	-0.0545682	0.123567	0.213835	0.213417	-0.05486	0.00262686	-0.143246	0.0716744	0.143992	0.185417	0.160764	0.125325	-0.0111268	0.33727	0.245571	-0.020141	0.0444471	-0.0422324	-0.00248859	0.209536	0.0502369	0.0279329	-0.183579	0.167219	0.078422	0.0295502	0.0297734	0.0929705	0.026244	0.0546704	0.0696242	0.162638	0.149898	0.145196	-0.135812	0.165131	0.162917	0	0.0914325	-0.0252888	0.125878	0.357531	-0.0887373	0.0728345	0.295076	0.103122	0.0379443	0.122872	0.441652	0.602031	0.090391	-0.0285616	
-1.04484	0.88438	0.10399	-0.363602	0.0523713	-0.0956992	0.0696945	0.211661	0.0158433	0.169986	0.0831901	0.13892	0.0048519	0.150078	-0.0492167	-0.00704635	0.146219	0.188133	-0.0106863	0.24306	0.0936621	0.194046	0.0591157	0.140166	0.00093551	0.159978	0.234626	-0.0442735	0.124693	0.0719261	0.169295	0.0499301	0.867878	0.120161	0.244579	-0.0917921	0.139212	0.129863	0.179747	0.0875349	-0.00693891	-0.0281625	-0.0068644	0.123488	-0.0748883	0.203495	-0.0443655	-0.0158088	0.0644898	0.103312	-0.000478878	0.113207	-0.0981615	0.182933	-0.0212397	0.0489557	-0.000680433	0.109724	0.0805975	0.136942	0.269304	0.0157145	0.154007	-0.0198031	-0.0693646	-0.0902834	0.11154	0.0949395	-0.0258903	0.0437058	0.223022	0.205961	0.165926	0.120568	0.0127162	0.203039	0.0944347	0.133916	0.164172	0.25755	-0.0180787	0.139432	-0.0695047	0	0.0789918	-0.0151478	0.0895366	0.0906539	-0.0310135	0.017043	0.0915626	-0.119226	0.0875644	0.0166616	0.163555	0.367157	-0.0225391	-0.130062	
