"t1_60_ico_bin_ppm","t1_60_ico_nat_ppm","t1_60_ico_zf_ppm","t2_60_ico_bin_ppm","t2_60_ico_nat_ppm","t2_60_ico_zf_ppm","t2_400_ico_bin_ppm","t2_400_ico_pbin_ppm","t2_400_ico_nat_ppm","t2_400_ico_zf_ppm"
"-1.02522","-1.07525","-1.07525","-1.02547","-1.0755","-1.0755","-3.20284","-3.24689","-3.25283","-3.25283"
"-0.975195","-1.06931","-1.07228","-0.975438","-1.06956","-1.07253","-3.15272","-3.24095","-3.25186","-3.25234"
"-0.925168","-1.06337","-1.06931","-0.925409","-1.06362","-1.06956","-3.10261","-3.23501","-3.25088","-3.25186"
"-0.875142","-1.05743","-1.06634","-0.875381","-1.05768","-1.06659","-3.05249","-3.22907","-3.2499","-3.25137"
"-0.825115","-1.05149","-1.06337","-0.825352","-1.05174","-1.06362","-3.00238","-3.22313","-3.24893","-3.25088"
"-0.775088","-1.04556","-1.0604","-0.775323","-1.0458","-1.06065","-2.95227","-3.21719","-3.24795","-3.25039"
"-0.725062","-1.03962","-1.05743","-0.725295","-1.03986","-1.05768","-2.90215","-3.21125","-3.24697","-3.2499"
"-0.675035","-1.03368","-1.05446","-0.675266","-1.03392","-1.05471","-2.85204","-3.20531","-3.246","-3.24941"
"-0.625008","-1.02774","-1.05149","-0.625237","-1.02798","-1.05174","-2.80193","-3.19937","-3.24502","-3.24893"
"-0.574982","-1.0218","-1.04852","-0.575208","-1.02205","-1.04877","-2.75181","-3.19343","-3.24404","-3.24844"
"-0.524955","-1.01586","-1.04556","-0.52518","-1.01611","-1.0458","-2.7017","-3.18749","-3.24307","-3.24795"
"-0.474928","-1.00992","-1.04259","-0.475151","-1.01017","-1.04283","-2.65159","-3.18155","-3.24209","-3.24746"
"-0.424902","-1.00398","-1.03962","-0.425122","-1.00423","-1.03986","-2.60147","-3.17561","-3.24111","-3.24697"
"-0.374875","-0.998046","-1.03665","-0.375093","-0.99829","-1.03689","-2.55136","-3.16967","-3.24014","-3.24648"
"-0.324848","-0.992107","-1.03368","-0.325065","-0.992351","-1.03392","-2.50124","-3.16373","-3.23916","-3.246"
"-0.274822","-0.986168","-1.03071","-0.275036","-0.986412","-1.03095","-2.45113","-3.15779","-3.23818","-3.24551"
"-0.224795","-0.98023","-1.02774","-0.225007","-0.980473","-1.02798","-2.40102","-3.15185","-3.23721","-3.24502"
"-0.174768","-0.974291","-1.02477","-0.174979","-0.974534","-1.02501","-2.3509","-3.14591","-3.23623","-3.24453"
"-0.124741","-0.968352","-1.0218","-0.12495","-0.968595","-1.02205","-2.30079","-3.13997","-3.23525","-3.24404"
"-0.0747148","-0.962414","-1.01883","-0.0749211","-0.962656","-1.01908","-2.25068","-3.13403","-3.23428","-3.24355"
"-0.0246881","-0.956475","-1.01586","-0.0248924","-0.956717","-1.01611","-2.20056","-3.12809","-3.2333","-3.24307"
"0.0253386","-0.950536","-1.01289","0.0251363","-0.950778","-1.01314","-2.15045","-3.12215","-3.23232","-3.24258"
"0.0753653","-0.944598","-1.00992","0.075165","-0.944839","-1.01017","-2.10034","-3.11621","-3.23135","-3.24209"
"0.125392","-0.938659","-1.00695","0.125194","-0.9389","-1.0072","-2.05022","-3.11026","-3.23037","-3.2416"
"0.175419","-0.93272","-1.00398","0.175222","-0.932961","-1.00423","-2.00011","-3.10432","-3.22939","-3.24111"
"0.225445","-0.926781","-1.00102","0.225251","-0.927022","-1.00126","-1.94999","-3.09838","-3.22842","-3.24062"
"0.275472","-0.920843","-0.998046","0.27528","-0.921084","-0.99829","-1.89988","-3.09244","-3.22744","-3.24014"
"0.325499","-0.914904","-0.995076","0.325309","-0.915145","-0.99532","-1.84977","-3.0865","-3.22646","-3.23965"
"0.375525","-0.908965","-0.992107","0.375337","-0.909206","-0.992351","-1.79965","-3.08056","-3.22549","-3.23916"
"0.425552","-0.903027","-0.989138","0.425366","-0.903267","-0.989381","-1.74954","-3.07462","-3.22451","-3.23867"
"0.475579","-0.897088","-0.986168","0.475395","-0.897328","-0.986412","-1.69943","-3.06868","-3.22353","-3.23818"
"0.525606","-0.891149","-0.983199","0.525424","-0.891389","-0.983442","-1.64931","-3.06274","-3.22256","-3.2377"
"0.575632","-0.885211","-0.98023","0.575452","-0.88545","-0.980473","-1.5992","-3.0568","-3.22158","-3.23721"
"0.625659","-0.879272","-0.97726","0.625481","-0.879511","-0.977503","-1.54908","-3.05086","-3.2206","-3.23672"
"0.675686","-0.873333","-0.974291","0.67551","-0.873572","-0.974534","-1.49897","-3.04492","-3.21963","-3.23623"
"0.725712","-0.867395","-0.971322","0.725538","-0.867633","-0.971564","-1.44886","-3.03898","-3.21865","-3.23574"
"0.775739","-0.861456","-0.968352","0.775567","-0.861694","-0.968595","-1.39874","-3.03304","-3.21767","-3.23525"
"0.825766","-0.855517","-0.965383","0.825596","-0.855755","-0.965625","-1.34863","-3.0271","-3.2167","-3.23477"
"0.875792","-0.849579","-0.962414","0.875625","-0.849816","-0.962656","-1.29852","-3.02116","-3.21572","-3.23428"
"0.925819","-0.84364","-0.959444","0.925653","-0.843878","-0.959687","-1.2484","-3.01522","-3.21474","-3.23379"
"0.975846","-0.837701","-0.956475","0.975682","-0.837939","-0.956717","-1.19829","-3.00928","-3.21377","-3.2333"
"1.02587","-0.831763","-0.953506","1.02571","-0.832","-0.953748","-1.14818","-3.00334","-3.21279","-3.23281"
"1.0759","-0.825824","-0.950536","1.07574","-0.826061","-0.950778","-1.09806","-2.9974","-3.21181","-3.23232"
"1.12593","-0.819885","-0.947567","1.12577","-0.820122","-0.947809","-1.04795","-2.99146","-3.21084","-3.23184"
"1.17595","-0.813946","-0.944598","1.1758","-0.814183","-0.944839","-0.997834","-2.98552","-3.20986","-3.23135"
"1.22598","-0.808008","-0.941628","1.22583","-0.808244","-0.94187","-0.947721","-2.97958","-3.20889","-3.23086"
"1.27601","-0.802069","-0.938659","1.27585","-0.802305","-0.9389","-0.897607","-2.97364","-3.20791","-3.23037"
"1.32603","-0.79613","-0.935689","1.32588","-0.796366","-0.935931","-0.847493","-2.9677","-3.20693","-3.22988"
"1.37606","-0.790192","-0.93272","1.37591","-0.790427","-0.932961","-0.79738","-2.96176","-3.20596","-3.22939"
"1.42609","-0.784253","-0.929751","1.42594","-0.784488","-0.929992","-0.747266","-2.95581","-3.20498","-3.22891"
"1.47611","-0.778314","-0.926781","1.47597","-0.778549","-0.927022","-0.697152","-2.94987","-3.204","-3.22842"
"1.52614","-0.772376","-0.923812","1.526","-0.77261","-0.924053","-0.647039","-2.94393","-3.20303","-3.22793"
"1.57617","-0.766437","-0.920843","1.57603","-0.766671","-0.921084","-0.596925","-2.93799","-3.20205","-3.22744"
"1.62619","-0.760498","-0.917873","1.62606","-0.760733","-0.918114","-0.546811","-2.93205","-3.20107","-3.22695"
"1.67622","-0.75456","-0.914904","1.67608","-0.754794","-0.915145","-0.496698","-2.92611","-3.2001","-3.22646"
"1.72625","-0.748621","-0.911935","1.72611","-0.748855","-0.912175","-0.446584","-2.92017","-3.19912","-3.22598"
"1.77627","-0.742682","-0.908965","1.77614","-0.742916","-0.909206","-0.39647","-2.91423","-3.19814","-3.22549"
"1.8263","-0.736744","-0.905996","1.82617","-0.736977","-0.906236","-0.346357","-2.90829","-3.19717","-3.225"
"1.87633","-0.730805","-0.903027","1.8762","-0.731038","-0.903267","-0.296243","-2.90235","-3.19619","-3.22451"
"1.92635","-0.724866","-0.900057","1.92623","-0.725099","-0.900297","-0.246129","-2.89641","-3.19521","-3.22402"
